trade_id,timestamp_entry,timestamp_exit,date,month,symbol,playbook,direction,trade_type,quality,entry_price,exit_price,stop_loss,take_profit_1,position_size,duration_minutes,risk_pct,pnl_dollars,risk_dollars,r_multiple,risk_tier,pnl_R_account,cumulative_R,outcome,exit_reason,session_label,killzone_label
384311db-3429-4104-a1da-2ea6550a2ca6,2025-08-01 13:34:00+00:00,2025-08-01 14:00:00+00:00,2025-08-01,2025-08,SPY,Liquidity_Sweep_Scalp,LONG,SCALP,C,624.315,621.193425,621.193425,628.9973625,80.0,26.0,0.02,-311.7760000000006,2000.0,-0.15588800000000028,2,-0.31177600000000055,-0.31177600000000055,loss,SL,ny,ny_open
9f4fd179-9db7-411b-82b8-8993918fe722,2025-08-01 13:39:00+00:00,2025-08-01 14:00:00+00:00,2025-08-01,2025-08,SPY,Liquidity_Sweep_Scalp,LONG,SCALP,C,623.7601,620.6412995,620.6412995,628.43830075,80.0,21.0,0.02,-311.5040400000016,2000.0,-0.15575202000000082,2,-0.31150404000000165,-0.6232800400000023,loss,SL,ny,ny_open
85189297-d27a-430f-8ec3-e921b5a81d9e,2025-08-01 13:44:00+00:00,2025-08-01 15:44:00+00:00,2025-08-01,2025-08,SPY,Liquidity_Sweep_Scalp,LONG,SCALP,C,622.282,623.61,619.1705900000001,626.949115,80.0,120.0,0.02,44.169999999997955,2000.0,0.022084999999998977,2,0.044169999999997954,-0.5791100400000043,win,time_stop,ny,ny_open
28d06e3b-5a7a-49c4-8d89-fba78f557546,2025-08-01 13:49:00+00:00,2025-08-01 15:49:00+00:00,2025-08-01,2025-08,SPY,Liquidity_Sweep_Scalp,LONG,SCALP,C,621.32,623.75,618.2134000000001,625.9799,80.0,120.0,0.02,132.369999999996,2000.0,0.066184999999998,2,0.132369999999996,-0.44674004000000833,win,time_stop,ny,ny_open
d7f67021-8106-4ab0-9093-7046c7556571,2025-08-01 16:04:00+00:00,2025-08-01 16:58:00+00:00,2025-08-01,2025-08,SPY,Liquidity_Sweep_Scalp,LONG,SCALP,C,624.667,621.543665,621.543665,629.3520025,79.0,54.0,0.02,-308.0634649999998,1000.0,-0.30806346499999976,2,-0.30806346499999976,-0.7548035050000081,loss,SL,ny,none
2d1aff42-5a54-4519-a247-d7b2a6308114,2025-08-01 16:09:00+00:00,2025-08-01 16:59:00+00:00,2025-08-01,2025-08,SPY,Liquidity_Sweep_Scalp,LONG,SCALP,C,624.505,621.382475,621.382475,629.1887875,79.0,50.0,0.02,-307.9894749999997,1000.0,-0.3079894749999997,2,-0.3079894749999997,-1.0627929800000078,loss,SL,ny,none
c5ff2a38-a0e7-45a9-ba66-0047c7a866a7,2025-08-01 15:59:00+00:00,2025-08-01 17:05:00+00:00,2025-08-01,2025-08,SPY,Liquidity_Sweep_Scalp,LONG,SCALP,C,624.0,620.88,620.88,628.6800000000001,79.0,66.0,0.02,-307.74000000000035,1000.0,-0.30774000000000035,2,-0.30774000000000035,-1.3705329800000081,loss,SL,ny,none
7478fa9b-bd69-46f9-bd68-96c4583e315f,2025-08-01 15:49:00+00:00,2025-08-01 17:26:00+00:00,2025-08-01,2025-08,SPY,Morning_Trap_Reversal,LONG,DAILY,C,623.75,620.63125,620.63125,633.1062499999999,79.0,97.0,0.02,-307.6212499999982,1000.0,-0.30762124999999824,2,-0.30762124999999824,-1.6781542300000063,loss,SL,ny,none
c96206e9-ce0f-4a6c-9a4c-52b82958e609,2025-08-01 15:54:00+00:00,2025-08-01 17:26:00+00:00,2025-08-01,2025-08,SPY,Morning_Trap_Reversal,LONG,DAILY,C,623.73,620.61135,620.61135,633.08595,79.0,92.0,0.02,-307.6133500000002,1000.0,-0.3076133500000002,2,-0.3076133500000002,-1.9857675800000065,loss,SL,ny,none
8384ebaf-7057-47c4-aaf9-dce416a96b68,2025-08-01 15:44:00+00:00,2025-08-01 17:27:00+00:00,2025-08-01,2025-08,SPY,Morning_Trap_Reversal,LONG,DAILY,C,623.61,620.49195,620.49195,632.9641500000001,79.0,103.0,0.02,-307.5559500000031,1000.0,-0.30755595000000313,2,-0.30755595000000313,-2.2933235300000097,loss,SL,ny,none
48c02ecc-2518-4ab6-9ab6-fd936aff16fe,2025-08-01 15:39:00+00:00,2025-08-01 18:12:00+00:00,2025-08-01,2025-08,SPY,Morning_Trap_Reversal,LONG,DAILY,C,622.64,619.5268,619.5268,631.9796,79.0,153.0,0.02,-307.0728000000005,1000.0,-0.3070728000000005,2,-0.3070728000000005,-2.6003963300000104,loss,SL,ny,none
102e638c-3785-4862-9067-7314c7dca965,2025-08-01 15:09:00+00:00,2025-08-01 23:59:00+00:00,2025-08-01,2025-08,SPY,Morning_Trap_Reversal,LONG,DAILY,C,622.275,621.23,619.163625,631.6091249999998,79.0,530.0,0.02,-143.76499999999677,1000.0,-0.14376499999999678,2,-0.14376499999999678,-2.744161330000007,loss,eod,ny,none
