trade_id,timestamp_entry,timestamp_exit,date,month,symbol,playbook,direction,trade_type,quality,entry_price,exit_price,stop_loss,take_profit_1,position_size,duration_minutes,risk_pct,pnl_dollars,risk_dollars,r_multiple,risk_tier,pnl_R_account,cumulative_R,outcome,exit_reason
ca36c018-79fc-45d7-a211-9cca907d79c7,2025-11-11 11:16:00-05:00,2025-11-11 11:16:00-05:00,2025-11-11,2025-11,QQQ,News_Fade,SHORT,DAILY,A,618.6996044921875,621.8132025146484,621.8132025146484,609.4388104248047,121.0,0.0,0.02,-376.7453607177696,2000.0,-0.1883726803588848,2,-0.3767453607177696,-0.3767453607177696,loss,SL
3fa54b4b-898a-4761-83a6-fccf86deee4a,2025-11-11 11:15:00-05:00,2025-11-11 11:15:00-05:00,2025-11-11,2025-11,QQQ,News_Fade,SHORT,DAILY,A,618.7799877929688,621.8939877319335,621.8939877319335,609.5179879760744,121.0,0.0,0.02,-376.7939926147351,2000.0,-0.18839699630736753,2,-0.37679399261473506,-0.7535393533325047,loss,SL
60a9de17-9efa-4f89-badc-82ce4496a0e6,2025-11-11 11:17:00-05:00,2025-11-11 11:17:00-05:00,2025-11-11,2025-11,QQQ,News_Fade,SHORT,DAILY,A,618.7350048828125,621.8487799072265,621.8487799072265,609.4736798095706,121.0,0.0,0.02,-376.7667779540867,2000.0,-0.18838338897704335,2,-0.3767667779540867,-1.1303061312865914,loss,SL
a9717abd-e4a1-4d78-8cea-c75bf9558c31,2025-11-11 11:18:00-05:00,2025-11-11 11:18:00-05:00,2025-11-11,2025-11,QQQ,News_Fade,SHORT,DAILY,A,618.9950146484375,622.1100897216796,622.1100897216796,609.7297894287111,121.0,0.0,0.02,-376.92408386229533,2000.0,-0.18846204193114766,2,-0.3769240838622953,-1.5072302151488868,loss,SL
0f654e2c-fcd9-4c16-b4f2-5f104172455e,2025-11-11 11:26:00-05:00,2025-11-11 11:26:00-05:00,2025-11-11,2025-11,QQQ,News_Fade,SHORT,DAILY,A,619.1900219726563,622.3060720825194,622.3060720825194,609.9218716430667,121.0,0.0,0.02,-377.0420632934449,2000.0,-0.18852103164672246,2,-0.3770420632934449,-1.8842722784423316,loss,SL
a936a758-a0ae-462f-bcea-a721db0e6f5f,2025-11-11 11:19:00-05:00,2025-11-11 11:19:00-05:00,2025-11-11,2025-11,QQQ,News_Fade,SHORT,DAILY,A,619.4201245117188,622.5373251342772,622.5373251342772,610.1485226440433,121.0,0.0,0.02,-377.181275329575,2000.0,-0.18859063766478748,2,-0.37718127532957496,-2.2614535537719065,loss,SL
cf5b6d2b-82cd-4d17-b95d-8e566d5ca66e,2025-11-11 11:20:00-05:00,2025-11-11 11:20:00-05:00,2025-11-11,2025-11,QQQ,News_Fade,SHORT,DAILY,A,619.469990234375,622.5874401855468,622.5874401855468,610.1976403808595,121.0,0.0,0.02,-377.2114440917886,2000.0,-0.18860572204589432,2,-0.37721144409178864,-2.638664997863695,loss,SL
cf44e0cf-558c-4f2d-a6d2-c4f27328ed96,2025-11-11 11:25:00-05:00,2025-11-11 11:25:00-05:00,2025-11-11,2025-11,QQQ,News_Fade,SHORT,DAILY,A,619.5299877929688,622.6477377319335,622.6477377319335,610.2567379760745,121.0,0.0,0.02,-377.24774261473124,2000.0,-0.18862387130736563,2,-0.37724774261473126,-3.0159127404784263,loss,SL
5e0edea1-b623-4ce0-aa20-2992108a9af7,2025-11-11 11:21:00-05:00,2025-11-11 11:21:00-05:00,2025-11-11,2025-11,QQQ,News_Fade,SHORT,DAILY,A,619.6399731445313,622.7582730102538,622.7582730102538,610.3650735473636,121.0,0.0,0.02,-377.3142837524249,2000.0,-0.18865714187621244,2,-0.3773142837524249,-3.393227024230851,loss,SL
a0ac473c-2e25-4971-a32f-f3f0f498ac7d,2025-11-11 11:22:00-05:00,2025-11-11 11:22:00-05:00,2025-11-11,2025-11,QQQ,News_Fade,SHORT,DAILY,A,619.7699780273438,622.8889279174804,622.8889279174804,610.4931283569339,121.0,0.0,0.02,-377.3929367065292,2000.0,-0.18869646835326462,2,-0.37739293670652924,-3.7706199609373803,loss,SL
