trade_id,timestamp_entry,timestamp_exit,date,month,symbol,playbook,direction,trade_type,quality,entry_price,exit_price,stop_loss,take_profit_1,position_size,duration_minutes,risk_pct,pnl_dollars,risk_dollars,r_multiple,risk_tier,pnl_R_account,cumulative_R,outcome,exit_reason
2daf9549-0c44-474d-b38d-2d02307b0b6e,2025-11-13 09:30:00-05:00,2025-11-13 09:30:00-05:00,2025-11-13,2025-11,QQQ,SCALP_Aplus_1_Mini_FVG_Retest_NY_Open,LONG,SCALP,A+,617.1000170898437,613.9946170043945,613.9946170043945,623.2508172607422,162.0,0.0,0.02,-503.07481384277344,2000.0,-0.2515374069213867,2,-0.5030748138427734,-0.5030748138427734,loss,SL
7089a934-5a7e-40bd-b344-c93db1a4af47,2025-11-13 09:31:00-05:00,2025-11-13 09:31:00-05:00,2025-11-13,2025-11,QQQ,SCALP_Aplus_1_Mini_FVG_Retest_NY_Open,LONG,SCALP,A+,617.3299975585937,614.2234475708008,614.2234475708008,623.4830975341797,161.0,0.0,0.02,-500.1545480346665,2000.0,-0.25007727401733326,2,-0.5001545480346665,-1.00322936187744,loss,SL
a2e275d2-4594-497a-98d8-dcd1ea5fb2e0,2025-11-13 09:32:00-05:00,2025-11-13 09:32:00-05:00,2025-11-13,2025-11,QQQ,SCALP_Aplus_1_Mini_FVG_Retest_NY_Open,LONG,SCALP,A+,616.9750170898437,613.8702420043945,613.8702420043945,623.1245672607422,162.0,0.0,0.02,-502.9735638427712,2000.0,-0.2514867819213856,2,-0.5029735638427713,-1.5062029257202112,loss,SL
8c7cdee3-443d-424f-8839-fe435b927690,2025-11-13 09:33:00-05:00,2025-11-13 09:33:00-05:00,2025-11-13,2025-11,QQQ,SCALP_Aplus_1_Mini_FVG_Retest_NY_Open,LONG,SCALP,A+,617.050029296875,613.9448791503906,613.9448791503906,623.2003295898437,162.0,0.0,0.02,-503.0343237304621,2000.0,-0.25151716186523104,2,-0.5030343237304621,-2.009237249450673,loss,SL
558f6805-be65-4eb0-9310-c8b7f9dfbb36,2025-11-13 09:34:00-05:00,2025-11-13 09:34:00-05:00,2025-11-13,2025-11,QQQ,SCALP_Aplus_1_Mini_FVG_Retest_NY_Open,LONG,SCALP,A+,616.530009765625,613.4274597167969,613.4274597167969,622.6751098632812,162.0,0.0,0.02,-502.6131079101533,2000.0,-0.2513065539550767,2,-0.5026131079101533,-2.5118503573608266,loss,SL
a2ced693-ad55-4091-863a-c1a364bda754,2025-11-13 09:35:00-05:00,2025-11-13 09:35:00-05:00,2025-11-13,2025-11,QQQ,SCALP_Aplus_1_Mini_FVG_Retest_NY_Open,LONG,SCALP,A+,615.77,612.67125,612.67125,621.9075,162.0,0.0,0.02,-501.99749999999926,2000.0,-0.2509987499999996,2,-0.5019974999999992,-3.013847857360826,loss,SL
4f1fdba2-0db3-4080-a548-0f2c5a6921a3,2025-11-13 09:36:00-05:00,2025-11-13 09:36:00-05:00,2025-11-13,2025-11,QQQ,SCALP_Aplus_1_Mini_FVG_Retest_NY_Open,LONG,SCALP,A+,614.8899951171875,611.7956451416015,611.7956451416015,621.0186950683594,162.0,0.0,0.02,-501.2846960449226,2000.0,-0.2506423480224613,2,-0.5012846960449227,-3.5151325534057487,loss,SL
637cfcb7-a004-4726-8a0f-8d8ef385c977,2025-11-13 09:37:00-05:00,2025-11-13 09:37:00-05:00,2025-11-13,2025-11,QQQ,SCALP_Aplus_1_Mini_FVG_Retest_NY_Open,LONG,SCALP,A+,615.0300708007812,611.9350204467773,611.9350204467773,621.1601715087891,162.0,0.0,0.02,-501.39815734862987,2000.0,-0.25069907867431496,2,-0.5013981573486299,-4.016530710754378,loss,SL
3f736029-ef66-4a33-b99c-c37d671e7448,2025-11-13 09:38:00-05:00,2025-11-13 09:38:00-05:00,2025-11-13,2025-11,QQQ,SCALP_Aplus_1_Mini_FVG_Retest_NY_Open,LONG,SCALP,A+,614.8450122070312,611.7508871459961,611.7508871459961,620.9732623291015,162.0,0.0,0.02,-501.2482598876909,2000.0,-0.2506241299438454,2,-0.5012482598876908,-4.51777897064207,loss,SL
ca5a6172-277e-403a-a6ca-e0daceddb07a,2025-11-13 09:40:00-05:00,2025-11-13 09:40:00-05:00,2025-11-13,2025-11,QQQ,SCALP_Aplus_1_Mini_FVG_Retest_NY_Open,LONG,SCALP,A+,614.8199877929687,611.7259878540038,611.7259878540038,620.9479876708986,162.0,0.0,0.02,-501.2279901123113,2000.0,-0.25061399505615567,2,-0.5012279901123113,-5.019006960754381,loss,SL
d1dfc815-b2e1-4d43-8681-7bde9e08c080,2025-11-13 09:39:00-05:00,2025-11-13 09:39:00-05:00,2025-11-13,2025-11,QQQ,SCALP_Aplus_1_Mini_FVG_Retest_NY_Open,LONG,SCALP,A+,614.780009765625,611.6862097167968,611.6862097167968,620.9076098632813,162.0,0.0,0.02,-501.1956079101592,2000.0,-0.2505978039550796,2,-0.5011956079101592,-5.520202568664541,loss,SL
b7c446b2-5b7f-4c77-b224-8d9d51ac5552,2025-11-13 09:41:00-05:00,2025-11-13 09:41:00-05:00,2025-11-13,2025-11,QQQ,SCALP_Aplus_1_Mini_FVG_Retest_NY_Open,LONG,SCALP,A+,614.4200244140625,611.3280242919922,611.3280242919922,620.5440246582032,162.0,0.0,0.02,-500.90401977539136,2000.0,-0.25045200988769567,2,-0.5009040197753913,-6.021106588439932,loss,SL
